Country,Year,Diabetes_Prevalence_pct
Afghanistan,2011,7.6
Afghanistan,2024,11.7
Albania,2011,2.8
Albania,2024,10.6
Algeria,2011,7.0
Algeria,2024,17.5
Andorra,2011,5.4
Andorra,2024,10.1
Angola,2011,2.9
Angola,2024,4.9
Antigua and Barbuda,2011,12.5
Antigua and Barbuda,2024,11.6
Argentina,2011,5.5
Argentina,2024,14.0
Armenia,2011,8.5
Armenia,2024,7.7
Aruba,2011,12.4
Aruba,2024,4.6
Australia,2011,6.6
Australia,2024,7.4
Austria,2011,6.6
Austria,2024,5.4
Azerbaijan,2011,2.8
Azerbaijan,2024,10.2
"Bahamas, The",2011,12.1
"Bahamas, The",2024,8.9
Bahrain,2011,19.5
Bahrain,2024,22.1
Bangladesh,2011,10.5
Bangladesh,2024,13.2
Barbados,2011,12.4
Barbados,2024,13.2
Belarus,2011,8.0
Belarus,2024,5.1
Belgium,2011,4.8
Belgium,2024,5.9
Belize,2011,17.0
Belize,2024,14.1
Benin,2011,2.0
Benin,2024,8.1
Bermuda,2011,12.0
Bermuda,2024,13.4
Bhutan,2011,5.7
Bhutan,2024,12.0
Bolivia,2011,6.6
Bolivia,2024,3.4
Bosnia and Herzegovina,2011,7.5
Bosnia and Herzegovina,2024,10.3
Botswana,2011,10.8
Botswana,2024,4.6
Brazil,2011,10.1
Brazil,2024,10.6
Brunei Darussalam,2011,9.4
Brunei Darussalam,2024,13.7
Bulgaria,2011,6.7
Bulgaria,2024,7.4
Burkina Faso,2011,3.0
Burkina Faso,2024,4.5
Burundi,2011,2.7
Burundi,2024,4.3
Cabo Verde,2011,5.4
Cabo Verde,2024,6.8
Cambodia,2011,2.9
Cambodia,2024,7.5
Cameroon,2011,6.1
Cameroon,2024,6.9
Canada,2011,8.4
Canada,2024,7.7
Cayman Islands,2011,12.0
Cayman Islands,2024,11.1
Central African Republic,2011,3.2
Central African Republic,2024,7.6
Chad,2011,3.9
Chad,2024,7.3
Chile,2011,9.5
Chile,2024,12.2
China,2011,8.8
China,2024,11.9
Colombia,2011,9.8
Colombia,2024,8.4
Comoros,2011,8.4
Comoros,2024,10.8
"Congo, Dem. Rep.",2011,3.1
"Congo, Dem. Rep.",2024,7.7
"Congo, Rep.",2011,5.5
"Congo, Rep.",2024,8.1
Costa Rica,2011,9.6
Costa Rica,2024,9.8
Cote d'Ivoire,2011,4.9
Cote d'Ivoire,2024,5.0
Croatia,2011,5.2
Croatia,2024,10.5
Cuba,2011,9.4
Cuba,2024,9.4
Curacao,2024,13.4
Cyprus,2011,9.3
Cyprus,2024,10.0
Czechia,2011,5.3
Czechia,2024,7.6
Denmark,2011,5.6
Denmark,2024,6.4
Djibouti,2011,6.3
Djibouti,2024,6.5
Dominica,2011,8.9
Dominica,2024,12.9
Dominican Republic,2011,8.1
Dominican Republic,2024,17.6
Ecuador,2011,6.6
Ecuador,2024,4.9
"Egypt, Arab Rep.",2011,16.6
"Egypt, Arab Rep.",2024,22.4
El Salvador,2011,9.4
El Salvador,2024,12.7
Equatorial Guinea,2011,4.2
Equatorial Guinea,2024,8.2
Eritrea,2011,3.6
Eritrea,2024,4.4
Estonia,2011,7.0
Estonia,2024,6.9
Eswatini,2011,3.1
Eswatini,2024,7.9
Ethiopia,2011,3.4
Ethiopia,2024,4.4
Faroe Islands,2024,5.3
Fiji,2011,10.9
Fiji,2024,16.6
Finland,2011,5.8
Finland,2024,6.9
France,2011,5.4
France,2024,6.5
French Polynesia,2011,8.6
French Polynesia,2024,22.8
Gabon,2011,10.3
Gabon,2024,8.5
"Gambia, The",2011,2.0
"Gambia, The",2024,5.5
Georgia,2011,2.8
Georgia,2024,6.7
Germany,2011,5.3
Germany,2024,7.8
Ghana,2011,5.0
Ghana,2024,2.7
Greece,2011,5.1
Greece,2024,8.0
Greenland,2024,4.3
Grenada,2011,8.6
Grenada,2024,11.3
Guam,2011,8.6
Guam,2024,20.3
Guatemala,2011,9.3
Guatemala,2024,13.2
Guinea,2011,4.4
Guinea,2024,4.6
Guinea-Bissau,2011,3.0
Guinea-Bissau,2024,4.8
Guyana,2011,16.7
Guyana,2024,16.4
Haiti,2011,6.6
Haiti,2024,8.5
Honduras,2011,6.7
Honduras,2024,5.0
"Hong Kong SAR, China",2011,7.6
"Hong Kong SAR, China",2024,8.2
Hungary,2011,6.0
Hungary,2024,8.3
Iceland,2011,3.2
Iceland,2024,6.9
India,2011,9.0
India,2024,10.5
Indonesia,2011,5.1
Indonesia,2024,11.3
"Iran, Islamic Rep.",2011,11.1
"Iran, Islamic Rep.",2024,9.0
Iraq,2011,9.1
Iraq,2024,13.4
Ireland,2011,5.2
Ireland,2024,3.6
Isle of Man,2024,7.5
Israel,2011,7.4
Israel,2024,10.1
Italy,2011,5.1
Italy,2024,7.7
Jamaica,2011,15.7
Jamaica,2024,12.5
Japan,2011,7.7
Japan,2024,8.1
Jordan,2011,12.1
Jordan,2024,20.5
Kazakhstan,2011,7.7
Kazakhstan,2024,6.8
Kenya,2011,5.1
Kenya,2024,3.1
Kiribati,2011,25.3
Kiribati,2024,24.6
"Korea, Dem. People's Rep.",2011,8.4
"Korea, Dem. People's Rep.",2024,9.9
"Korea, Rep.",2011,7.5
"Korea, Rep.",2024,9.6
Kosovo,2024,10.4
Kuwait,2011,20.7
Kuwait,2024,25.6
Kyrgyz Republic,2011,6.3
Kyrgyz Republic,2024,7.6
Lao PDR,2011,3.3
Lao PDR,2024,6.7
Latvia,2011,7.8
Latvia,2024,7.1
Lebanon,2011,19.6
Lebanon,2024,12.3
Lesotho,2011,3.4
Lesotho,2024,6.2
Liberia,2011,3.3
Liberia,2024,9.2
Libya,2011,13.8
Libya,2024,15.8
Liechtenstein,2011,4.7
Liechtenstein,2024,7.2
Lithuania,2011,7.8
Lithuania,2024,7.5
Luxembourg,2011,4.5
Luxembourg,2024,5.8
"Macao SAR, China",2011,7.2
"Macao SAR, China",2024,8.1
Madagascar,2011,4.7
Madagascar,2024,4.6
