date,home_workout,gym_membership
2018-01-01,22,23
2018-02-01,19,18
2018-03-01,18,17
2018-04-01,17,16
2018-05-01,17,16
2018-06-01,18,17
2018-07-01,19,17
2018-08-01,16,17
2018-09-01,15,17
2018-10-01,14,16
2018-11-01,14,16
2018-12-01,15,15
2019-01-01,20,23
2019-02-01,18,18
2019-03-01,17,19
2019-04-01,16,16
2019-05-01,16,16
2019-06-01,18,18
2019-07-01,19,18
2019-08-01,16,17
2019-09-01,15,18
2019-10-01,14,16
2019-11-01,15,16
2019-12-01,15,18
2020-01-01,20,24
2020-02-01,17,18
2020-03-01,78,14
2020-04-01,100,5
2020-05-01,57,6
2020-06-01,40,9
2020-07-01,37,11
2020-08-01,30,12
2020-09-01,28,14
2020-10-01,26,12
2020-11-01,28,10
2020-12-01,27,10
2021-01-01,36,10
2021-02-01,30,9
2021-03-01,26,10
2021-04-01,25,14
2021-05-01,26,15
2021-06-01,23,16
2021-07-01,23,17
2021-08-01,21,15
2021-09-01,18,15
2021-10-01,17,14
2021-11-01,16,14
2021-12-01,18,14
2022-01-01,24,19
2022-02-01,19,16
2022-03-01,19,16
2022-04-01,17,16
2022-05-01,18,17
2022-06-01,19,17
2022-07-01,19,17
2022-08-01,18,17
2022-09-01,16,17
2022-10-01,15,15
2022-11-01,16,15
2022-12-01,16,15
2023-01-01,21,22
2023-02-01,20,20
2023-03-01,18,17
2023-04-01,17,16
2023-05-01,17,17
2023-06-01,19,18
2023-07-01,21,19
2023-08-01,17,18
2023-09-01,17,19
2023-10-01,16,16
2023-11-01,16,17
2023-12-01,16,18
2024-01-01,20,25
2024-02-01,19,20
2024-03-01,16,20
2024-04-01,16,19
2024-05-01,16,20
2024-06-01,17,20
2024-07-01,17,20
2024-08-01,15,21
2024-09-01,16,21
2024-10-01,13,20
2024-11-01,14,21
2024-12-01,16,23
